;Topic;Count;Name;Representation;Representative_Docs;Perc
0;-1;10973;-1_catetere_venoso_gestione_terapia;['catetere', 'venoso', 'gestione', 'terapia', 'vescicale', 'catetere venoso', 'centrale', 'medicazione', 'venoso centrale', 'catetere vescicale', 'cateterismo', 'gestione catetere venoso', 'parametri', 'catetere venoso centrale', 'gestione catetere', 'cateterismo vescicale', 'bendaggio', 'catheter', 'inserted', 'inserted central catheter'];['gestione catetere venoso centrale', 'gestione catetere venoso centrale', 'gestione catetere venoso centrale'];0.48593950666489527
1;0;6550;0_terapia_caregiver_gestione_educazione;['terapia', 'caregiver', 'gestione', 'educazione', 'medicazione', 'paziente', 'somministrazione', 'lesioni', 'nutrizione', 'parenterale', 'sottocute', 'endovena', 'venoso', 'supporto', 'periferico', 'accesso', 'somministrazione terapia', 'decubito', 'cutanea', 'medicazione lesioni'];['gestione nutrizione parenterale totale', 'terapia varie', 'terapia'];0.2900668703777512
2;1;1002;1_prelievo ematico prelievo_ematico prelievo_prelievo ematico_ematico;['prelievo ematico prelievo', 'ematico prelievo', 'prelievo ematico', 'ematico', 'ematico prelievo ematico', 'prelievo', 'prelievo ematochimico', 'prelievo ematochimico prelievo', 'ematochimico prelievo', 'ematochimico', 'ematochimico prelievo ematico', 'ematico prelievo ematochimico', 'ematico venoso prelievo', 'ematico venoso', 'prelievo ematico venoso', 'venoso prelievo ematico', 'ematochimico prelievo ematochimico', 'venoso prelievo', 'biologico prelievo ematico', 'biologico prelievo'];['prelievo ematico', 'prelievo ematico', 'prelievo ematico'];0.04437358841503919
3;2;921;2_prelievo prelievo_prelievo prelievo prelievo_prelievo_evacuativo prelievo prelievo;['prelievo prelievo', 'prelievo prelievo prelievo', 'prelievo', 'evacuativo prelievo prelievo', 'prelievo evacuativo', 'prelievo endovena prelievo', 'endovena prelievo prelievo', 'prelievo endovena', 'prelievo prelievo endovena', 'prelievo evacuativo prelievo', 'prelievo prelievo evacuativo', 'evacuativo prelievo', 'endovena prelievo', 'evacuativo', 'endovena', '', '', '', '', ''];['prelievo', 'prelievo', 'prelievo'];0.0407865019263983
4;3;850;3_medicazione medicazione medicazione_medicazione medicazione_medicazione_;['medicazione medicazione medicazione', 'medicazione medicazione', 'medicazione', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ''];['medicazione', 'medicazione', 'medicazione'];0.03764226562154023
5;4;627;4_vescicale gestione catetere_gestione catetere vescicale_catetere vescicale gestione_vescicale gestione;['vescicale gestione catetere', 'gestione catetere vescicale', 'catetere vescicale gestione', 'vescicale gestione', 'gestione catetere', 'catetere vescicale', 'vescicale', 'catetere', 'gestione', 'vescicale rinnovo', 'vescicale assistenza catetere', 'vescicale clisma evacuante', 'vescicale rinnovo gestione', 'vescicale gestione cateteri', 'rinnovo gestione', 'rinnovo gestione catetere', 'gestione cateteri vescicale', 'rettoclisi gestione catetere', 'gestione cateteri', 'evacuante rettoclisi gestione'];['gestione catetere vescicale', 'gestione catetere vescicale', 'gestione catetere vescicale'];0.027766706523183207
6;5;613;5_percutanea_endoscopica percutanea_endoscopica_gastrostomia;['percutanea', 'endoscopica percutanea', 'endoscopica', 'gastrostomia', 'gastrostomia endoscopica', 'gastrostomia endoscopica percutanea', 'gestione', 'gestione gastrostomia', 'gestione gastrostomia endoscopica', 'sondino', 'percutanea gestione', 'gastrico', 'sondino naso gastrico', 'naso gastrico', 'sondino naso', 'naso', 'endoscopica percutanea gestione', 'tracheostomia', 'medicazione gastrostomia endoscopica', 'medicazione gastrostomia'];['gestione della gastrostomia endoscopica percutanea', 'gestione le gastrostomia endoscopica percutanea', 'gestione del gastrostomia endoscopica percutanea'];0.02714671626588725
7;6;524;6_gestione gastrostomia endoscopica_gestione gastrostomia_percutanea gestione gastrostomia_endoscopica percutanea gestione;['gestione gastrostomia endoscopica', 'gestione gastrostomia', 'percutanea gestione gastrostomia', 'endoscopica percutanea gestione', 'percutanea gestione', 'gastrostomia endoscopica', 'gastrostomia endoscopica percutanea', 'gastrostomia', 'endoscopica percutanea', 'endoscopica', 'percutanea', 'gestione', 'endoscopica percutanea addestramento', 'percutanea addestramento', 'caregiver gestione gastrostomia', 'addestramento caregiver', 'addestramento', 'percutanea addestramento caregiver', 'addestramento caregiver gestione', 'caregiver gestione'];['gestione gastrostomia endoscopica percutanea', 'gestione gastrostomia endoscopica percutanea', 'gestione gastrostomia endoscopica percutanea'];0.023205349630220095
8;7;521;7_sanitario educazione_educazione sanitario educazione_sanitario educazione sanitario_educazione sanitario;['sanitario educazione', 'educazione sanitario educazione', 'sanitario educazione sanitario', 'educazione sanitario', 'sanitario', 'educazione', 'sanitario educazione alimentare', 'educazione alimentare', 'alimentare', 'alimentare educazione', 'educazione alimentare educazione', 'sanitario educazione socio', 'socio sanitario educazione', 'educazione socio sanitario', 'educazione socio', 'socio sanitario', 'socio', 'alimentare educazione sanitario', 'alimentazione educazione sanitario', 'alimentazione educazione'];['educazione sanitario', 'educazione sanitario', 'educazione sanitario'];0.02307249457508525
