macro_cat,count
valutazione/monitoraggio clinico,115
valutazione dolore,88
accessi venosi (cvc/cvp),20
diagnostica lab/POC,13
drenaggi,11
tamponi - covid,6
emocolture,5
accessi arteriosi,3
tampone rapido,2
tamponi - altro,2
device/terapie varie,2
cura ferite/medicazioni,2
eventi non clinici/sicurezza,1
strumentazione/monitor,1
